"";"Fecha";"Hora";"Nombre";"Categoria";"Region";"Comuna";"PrecioNormal";"PrecioCalculado";"TipoMoneda";"ValorUf"
"1";"Hoy";"09:58";"Candado bicicleta";"Bicicletas, ciclismo y accesorios";"Región Metropolitana";"La Florida";6500;NA;"peso";NA
"2";"Hoy";"09:48";"Ipad pro 12.9 pulgadas";"Computadores y accesorios";"Región Metropolitana";"La Florida";45000;NA;"peso";NA
"3";"Hoy";"09:48";"Ventilador somela";"Electrodomésticos";"Región Metropolitana";"La Florida";39990;NA;"peso";NA
"4";"Hoy";"09:46";"Bmw x3 xdrive 2.0 4x4 diesel recibo vehiculo";"Autos, camionetas y 4x4";"Región Metropolitana";"La Florida";17650000;NA;"peso";NA
"5";"Hoy";"09:46";"Subaru legacy station at awd";"Autos, camionetas y 4x4";"Región Metropolitana";"La Florida";4980000;NA;"peso";NA
"6";"Hoy";"09:46";"Chevrolet sail 1.5 LT 30mil km RECIBO VEHÍCULO";"Autos, camionetas y 4x4";"Región Metropolitana";"La Florida";8850000;NA;"peso";NA
"7";"Hoy";"09:40";"PC HP Prodesk";"Computadores y accesorios";"Región Metropolitana";"La Florida";80000;NA;"peso";NA
"8";"Hoy";"09:35";"Multifuncion";"Jardín, herramientas y exteriores";"Región Metropolitana";"La Florida";24000;NA;"peso";NA
"9";"Hoy";"09:32";"Cerco electrico";"Servicios";"Región Metropolitana";"La Florida";5500;NA;"peso";NA
"10";"Hoy";"09:28";"De todobun poco";"Bicicletas, ciclismo y accesorios";"Región Metropolitana";"La Florida";10000;NA;"peso";NA
"11";"Hoy";"09:17";"bicimoto";"Bicicletas, ciclismo y accesorios";"Región Metropolitana";"La Florida";NA;NA;NA;NA
"12";"Hoy";"09:16";"Maestro mueblista";"Ofertas de empleo";"Región Metropolitana";"La Florida";NA;NA;NA;NA
"13";"Hoy";"09:16";"Asta Mástil Banderas Basas Pedestal Monolito";"Negocios, maquinaria y construcción";"Región Metropolitana";"La Florida";10000;NA;"peso";NA
"14";"Hoy";"09:16";"Dibujante Arquitectura Renderista";"Servicios";"Región Metropolitana";"La Florida";37000;NA;"peso";NA
"15";"Hoy";"09:08";"Base Pedestal Basa Monolito para Quitasol";"Jardín, herramientas y exteriores";"Región Metropolitana";"La Florida";20000;NA;"peso";NA
"16";"Hoy";"09:08";"Servicios de grúa 24/7";"Servicios";"Región Metropolitana";"La Florida";18000;NA;"peso";NA
"17";"Hoy";"09:04";"Camisa Ralph Lauren talla M";"Moda y vestuario";"Región Metropolitana";"La Florida";10000;NA;"peso";NA
"18";"Hoy";"07:45";"Suzuki Celerio";"Autos, camionetas y 4x4";"Región Metropolitana";"La Florida";6890000;NA;"peso";NA
"19";"Hoy";"07:05";"Ford Ecosport Se 1.6 2014";"Autos, camionetas y 4x4";"Región Metropolitana";"La Florida";10890000;NA;"peso";NA
"20";"Hoy";"06:34";"Samsung a52 128gb liberado -exelente- poco uso";"Celulares, teléfonos y accesorios";"Región Metropolitana";"La Florida";2e+05;NA;"peso";NA
"21";"Hoy";"05:17";"Lego minecraft";"Juguetes";"Región Metropolitana";"La Florida";40000;NA;"peso";NA
"22";"Hoy";"05:11";"Lego star wars";"Juguetes";"Región Metropolitana";"La Florida";90000;NA;"peso";NA
